fd_id,did_eat_meat,was_vegan,no_meals,no_snacks,alcohol_consumed,water_drank
5000,False,False,2,1,605,1123
5001,True,False,1,4,609,1147
5002,True,False,2,1,0,1416
5003,True,False,1,0,520,1787
5004,True,False,3,2,0,728
5005,False,False,2,1,0,878
5006,True,False,1,3,0,686
5007,True,False,1,3,0,1718
5008,True,False,1,3,496,1828
5009,True,False,1,1,0,2317
6000,False,False,3,2,0,1989
6001,True,False,3,4,0,582
6002,False,False,3,4,0,1834
6003,True,False,2,5,0,2256
6004,True,False,1,4,838,1888
6005,True,False,1,1,88,724
6006,False,False,2,1,0,661
6007,True,False,1,1,0,936
6008,True,False,2,0,429,550
6009,True,False,1,4,0,1366
7000,True,False,3,5,0,1035
7001,True,False,2,4,135,1618
7002,False,False,2,4,0,1912
7003,False,False,2,5,544,924
7004,False,True,6,4,520,1719
7005,True,False,3,4,0,732
7006,True,False,2,3,0,1553
7007,False,False,1,0,0,2553
7008,True,False,1,0,0,893
7009,True,False,1,2,0,1156
8000,False,False,1,1,421,2189
8001,True,False,1,3,831,1828
8002,True,False,2,5,0,1728
8003,True,False,2,2,273,1060
8004,True,False,1,0,0,2297
8005,True,False,6,3,0,2410
8006,False,False,3,1,506,2068
8007,True,False,3,1,0,1349
8008,False,False,2,3,317,2139
8009,False,True,3,5,0,1205
9000,False,False,3,4,0,1769
9001,False,False,3,1,952,2196
9002,True,False,2,5,0,2360
9003,True,False,2,4,0,1986
9004,False,False,1,5,896,2450
9005,True,False,3,2,0,2588
9006,False,True,1,4,0,1571
9007,False,False,2,5,0,1181
9008,True,False,3,5,0,749
9009,True,False,3,2,0,1157
10000,True,False,2,1,0,1060
10001,True,False,1,0,0,2037
10002,False,False,3,0,588,2401
10003,True,False,1,2,0,2136
10004,True,False,3,4,0,2183
10005,False,False,3,0,0,1227
10006,False,True,1,1,0,2165
10007,True,False,1,0,0,1671
10008,False,False,2,1,0,1475
10009,True,False,2,0,879,1011
11000,False,True,3,0,0,2228
11001,False,False,3,4,666,1780
11002,True,False,3,0,0,962
11003,False,False,2,4,0,576
11004,False,True,2,1,0,1435
11005,False,False,1,2,0,1962
11006,False,False,5,4,612,1408
11007,True,False,3,5,31,1816
11008,False,False,1,1,0,2151
11009,True,False,2,5,848,743
12000,True,False,3,4,0,1636
12001,False,True,3,3,958,2359
12002,True,False,2,0,278,1265
12003,True,False,2,4,0,2490
12004,True,False,2,4,0,2206
12005,True,False,2,1,0,966
12006,True,False,3,2,0,2343
12007,True,False,2,3,0,2545
12008,True,False,1,1,535,1614
12009,False,False,3,0,496,968
13000,True,False,2,0,0,648
13001,False,False,1,3,0,2382
13002,True,False,3,4,579,1903
13003,True,False,2,2,0,2359
13004,True,False,3,5,0,2449
13005,True,False,2,3,0,1505
13006,True,False,2,4,0,2131
13007,True,False,2,5,0,1963
13008,False,False,2,3,0,3143
13009,True,False,1,0,819,859
14000,True,False,2,4,0,2224
14001,True,False,1,0,0,2255
14002,False,False,3,4,0,2481
14003,False,False,2,4,0,654
14004,True,False,2,4,0,2232
14005,False,True,2,2,0,2035
14006,True,False,2,4,0,2122
14007,True,False,2,5,0,1811
14008,True,False,3,1,0,862
14009,False,False,1,3,376,1861
15000,False,False,3,3,480,2392
15001,True,False,3,0,0,1175
15002,True,False,2,1,0,992
15003,True,False,4,3,0,2302
15004,True,False,3,0,0,1563
15005,True,False,1,5,0,2101
15006,False,False,2,0,0,1866
15007,False,False,1,4,0,1460
15008,False,True,1,3,152,1868
15009,True,False,1,1,0,989
16000,False,True,2,4,0,2050
16001,False,False,3,0,0,1999
16002,False,False,2,1,0,1930
16003,True,False,3,0,0,1011
16004,False,False,1,4,0,558
16005,True,False,1,0,0,2001
16006,False,False,2,0,0,2015
16007,True,False,3,2,0,704
16008,False,True,3,2,0,1186
16009,True,False,2,1,0,1488
17000,False,True,1,0,885,1249
17001,False,False,1,1,0,772
17002,True,False,3,5,0,733
17003,False,True,1,1,0,1208
17004,True,False,3,4,0,2411
17005,True,False,2,3,732,1617
17006,True,False,1,5,0,504
17007,False,True,2,5,0,1097
17008,True,False,1,5,0,1129
17009,False,False,1,2,0,1076
18000,False,False,3,0,0,1213
18001,False,False,2,4,0,1902
18002,True,False,2,0,0,1289
18003,True,False,1,5,319,1725
18004,True,False,2,1,851,970
18005,False,False,2,1,0,931
18006,False,False,2,1,0,2099
18007,False,False,1,5,0,1431
18008,False,False,1,5,0,2407
18009,True,False,1,0,0,2012
19000,False,False,3,2,0,671
19001,False,False,1,5,0,735
19002,True,False,1,1,0,1497
19003,False,True,3,0,0,1877
19004,False,False,2,4,529,2087
19005,True,False,1,5,0,2285
19006,True,False,2,3,0,2458
19007,True,False,3,1,816,1576
19008,False,False,2,5,0,1115
19009,False,False,1,1,0,702
20000,False,False,5,2,393,2053
20001,False,False,1,0,0,1263
20002,False,False,3,3,0,2298
20003,True,False,1,2,0,2416
20004,False,False,2,4,0,2389
20005,True,False,3,4,718,1793
20006,True,False,2,4,0,1903
20007,False,False,3,2,0,1473
20008,True,False,1,0,0,2170
20009,True,False,2,0,0,2301
21000,False,False,3,5,764,866
21001,False,False,4,4,0,1529
21002,False,False,2,1,298,773
21003,True,False,2,1,0,2845
21004,True,False,7,5,0,1105
21005,False,False,6,3,0,2984
21006,False,False,2,5,0,1748
21007,True,False,1,2,163,2312
21008,True,False,2,1,0,1703
21009,False,False,2,5,0,1883
22000,False,False,2,3,328,1299
22001,True,False,3,3,0,898
22002,False,True,2,0,0,864
22003,False,False,3,2,511,1397
22004,False,False,1,2,0,1534
22005,True,False,1,1,0,1193
22006,False,True,2,0,0,1607
22007,False,False,3,0,0,2332
22008,True,False,1,2,0,2139
22009,True,False,2,5,908,1964
23000,False,False,1,1,0,2245
23001,False,False,2,2,0,1205
23002,False,False,3,2,0,1929
23003,False,False,3,0,326,1678
23004,False,False,1,2,0,1978
23005,True,False,3,0,403,721
23006,True,False,3,1,0,1881
23007,False,False,7,4,0,1145
23008,True,False,1,1,62,1705
23009,True,False,1,1,0,1213
24000,False,True,2,1,0,1121
24001,False,True,2,3,0,840
24002,False,False,1,4,825,1532
24003,True,False,3,3,0,661
24004,True,False,1,4,448,1235
24005,False,False,3,0,0,2465
24006,True,False,1,2,0,851
24007,False,True,3,2,536,2194
24008,False,False,2,4,0,1822
24009,True,False,3,2,0,2013
25000,True,False,2,3,0,2115
25001,False,False,2,0,0,2108
25002,False,False,1,0,37,2172
25003,True,False,3,3,0,1347
25004,True,False,2,2,0,1103
25005,True,False,3,4,458,2598
25006,False,True,1,5,0,1280
25007,False,False,4,3,0,2328
25008,False,False,2,1,0,991
25009,True,False,1,0,451,3055
26000,True,False,3,2,0,1984
26001,True,False,1,5,0,2330
26002,True,False,2,0,0,517
26003,True,False,1,2,282,1854
26004,False,False,3,2,0,1313
26005,True,False,3,2,0,3044
26006,False,False,2,5,0,656
26007,False,False,1,5,648,1464
26008,True,False,7,3,427,1338
26009,True,False,1,3,942,1240
27000,False,False,1,3,0,3208
27001,False,False,1,5,0,1644
27002,False,True,3,2,0,660
27003,True,False,3,4,882,777
27004,False,False,3,1,0,1602
27005,True,False,2,0,0,1150
27006,True,False,1,4,0,3160
27007,False,False,3,4,299,664
27008,True,False,3,0,0,1533
27009,True,False,1,3,0,666
28000,False,True,3,3,0,1298
28001,True,False,1,1,0,1506
28002,True,False,3,4,0,1806
28003,True,False,2,0,0,876
28004,False,True,2,1,185,1460
28005,True,False,1,5,0,553
28006,True,False,2,3,0,2100
28007,True,False,1,3,0,1130
28008,False,False,1,4,0,2534
28009,False,False,2,3,0,1204
29000,False,False,3,5,0,861
29001,False,False,1,1,0,775
29002,True,False,1,3,168,1712
29003,True,False,1,1,0,1780
