happy_id,current_date,happy_score,country_id,fd_id,social_id,sleep_id,spendings_id
1,2021-01-01 00:00:00,61,1,5000,5000,5000,5000
2,2021-01-01 00:00:00,74,2,5001,5001,5001,5001
3,2021-01-01 00:00:00,15,3,5002,5002,5002,5002
4,2021-01-01 00:00:00,43,4,5003,5003,5003,5003
5,2021-01-01 00:00:00,87,5,5004,5004,5004,5004
6,2021-01-01 00:00:00,100,1,5005,5005,5005,5005
7,2021-01-01 00:00:00,7,2,5006,5006,5006,5006
8,2021-01-01 00:00:00,91,3,5007,5007,5007,5007
9,2021-01-01 00:00:00,6,4,5008,5008,5008,5008
10,2021-01-01 00:00:00,41,5,5009,5009,5009,5009
11,2021-01-01 00:00:00,83,1,5010,5010,5010,5010
12,2021-01-01 00:00:00,62,2,5011,5011,5011,5011
13,2021-01-01 00:00:00,16,3,5012,5012,5012,5012
14,2021-01-01 00:00:00,38,4,5013,5013,5013,5013
15,2021-01-01 00:00:00,78,5,5014,5014,5014,5014
16,2021-01-01 00:00:00,99,1,5015,5015,5015,5015
17,2021-01-01 00:00:00,33,2,5016,5016,5016,5016
18,2021-01-01 00:00:00,91,3,5017,5017,5017,5017
19,2021-01-01 00:00:00,53,4,5018,5018,5018,5018
20,2021-01-01 00:00:00,58,5,5019,5019,5019,5019
21,2021-01-01 00:00:00,50,1,5020,5020,5020,5020
22,2021-01-01 00:00:00,10,2,5021,5021,5021,5021
23,2021-01-01 00:00:00,9,3,5022,5022,5022,5022
24,2021-01-01 00:00:00,79,4,5023,5023,5023,5023
25,2021-01-01 00:00:00,38,5,5024,5024,5024,5024
26,2021-01-01 00:00:00,38,1,5025,5025,5025,5025
27,2021-01-01 00:00:00,42,2,5026,5026,5026,5026
28,2021-01-01 00:00:00,56,3,5027,5027,5027,5027
29,2021-01-01 00:00:00,65,4,5028,5028,5028,5028
30,2021-01-01 00:00:00,65,5,5029,5029,5029,5029
31,2021-01-01 00:00:00,91,1,5030,5030,5030,5030
32,2021-01-01 00:00:00,88,2,5031,5031,5031,5031
33,2021-01-01 00:00:00,48,3,5032,5032,5032,5032
34,2021-01-01 00:00:00,43,4,5033,5033,5033,5033
35,2021-01-01 00:00:00,49,5,5034,5034,5034,5034
36,2021-01-01 00:00:00,5,1,5035,5035,5035,5035
37,2021-01-01 00:00:00,8,2,5036,5036,5036,5036
38,2021-01-01 00:00:00,84,3,5037,5037,5037,5037
39,2021-01-01 00:00:00,65,4,5038,5038,5038,5038
40,2021-01-01 00:00:00,99,5,5039,5039,5039,5039
41,2021-01-01 00:00:00,2,1,5040,5040,5040,5040
42,2021-01-01 00:00:00,85,2,5041,5041,5041,5041
43,2021-01-01 00:00:00,89,3,5042,5042,5042,5042
44,2021-01-01 00:00:00,45,4,5043,5043,5043,5043
45,2021-01-01 00:00:00,6,5,5044,5044,5044,5044
46,2021-01-01 00:00:00,38,1,5045,5045,5045,5045
47,2021-01-01 00:00:00,63,2,5046,5046,5046,5046
48,2021-01-01 00:00:00,24,3,5047,5047,5047,5047
49,2021-01-01 00:00:00,14,4,5048,5048,5048,5048
50,2021-01-01 00:00:00,47,5,5049,5049,5049,5049
51,2021-01-02 00:00:00,28,1,6000,6000,6000,6000
52,2021-01-02 00:00:00,6,2,6001,6001,6001,6001
53,2021-01-02 00:00:00,94,3,6002,6002,6002,6002
54,2021-01-02 00:00:00,50,4,6003,6003,6003,6003
55,2021-01-02 00:00:00,53,5,6004,6004,6004,6004
56,2021-01-02 00:00:00,61,1,6005,6005,6005,6005
57,2021-01-02 00:00:00,65,2,6006,6006,6006,6006
58,2021-01-02 00:00:00,19,3,6007,6007,6007,6007
59,2021-01-02 00:00:00,7,4,6008,6008,6008,6008
60,2021-01-02 00:00:00,33,5,6009,6009,6009,6009
61,2021-01-02 00:00:00,18,1,6010,6010,6010,6010
62,2021-01-02 00:00:00,43,2,6011,6011,6011,6011
63,2021-01-02 00:00:00,86,3,6012,6012,6012,6012
64,2021-01-02 00:00:00,11,4,6013,6013,6013,6013
65,2021-01-02 00:00:00,22,5,6014,6014,6014,6014
66,2021-01-02 00:00:00,99,1,6015,6015,6015,6015
67,2021-01-02 00:00:00,87,2,6016,6016,6016,6016
68,2021-01-02 00:00:00,99,3,6017,6017,6017,6017
69,2021-01-02 00:00:00,39,4,6018,6018,6018,6018
70,2021-01-02 00:00:00,81,5,6019,6019,6019,6019
71,2021-01-02 00:00:00,82,1,6020,6020,6020,6020
72,2021-01-02 00:00:00,77,2,6021,6021,6021,6021
73,2021-01-02 00:00:00,32,3,6022,6022,6022,6022
74,2021-01-02 00:00:00,2,4,6023,6023,6023,6023
75,2021-01-02 00:00:00,81,5,6024,6024,6024,6024
76,2021-01-02 00:00:00,74,1,6025,6025,6025,6025
77,2021-01-02 00:00:00,27,2,6026,6026,6026,6026
78,2021-01-02 00:00:00,71,3,6027,6027,6027,6027
79,2021-01-02 00:00:00,12,4,6028,6028,6028,6028
80,2021-01-02 00:00:00,81,5,6029,6029,6029,6029
81,2021-01-02 00:00:00,99,1,6030,6030,6030,6030
82,2021-01-02 00:00:00,31,2,6031,6031,6031,6031
83,2021-01-02 00:00:00,12,3,6032,6032,6032,6032
84,2021-01-02 00:00:00,71,4,6033,6033,6033,6033
85,2021-01-02 00:00:00,60,5,6034,6034,6034,6034
86,2021-01-02 00:00:00,89,1,6035,6035,6035,6035
87,2021-01-02 00:00:00,25,2,6036,6036,6036,6036
88,2021-01-02 00:00:00,63,3,6037,6037,6037,6037
89,2021-01-02 00:00:00,92,4,6038,6038,6038,6038
90,2021-01-02 00:00:00,22,5,6039,6039,6039,6039
91,2021-01-02 00:00:00,85,1,6040,6040,6040,6040
92,2021-01-02 00:00:00,92,2,6041,6041,6041,6041
93,2021-01-02 00:00:00,31,3,6042,6042,6042,6042
94,2021-01-02 00:00:00,98,4,6043,6043,6043,6043
95,2021-01-02 00:00:00,85,5,6044,6044,6044,6044
96,2021-01-02 00:00:00,25,1,6045,6045,6045,6045
97,2021-01-02 00:00:00,82,2,6046,6046,6046,6046
98,2021-01-02 00:00:00,96,3,6047,6047,6047,6047
99,2021-01-02 00:00:00,11,4,6048,6048,6048,6048
100,2021-01-02 00:00:00,14,5,6049,6049,6049,6049
101,2021-01-03 00:00:00,95,1,7000,7000,7000,7000
102,2021-01-03 00:00:00,68,2,7001,7001,7001,7001
103,2021-01-03 00:00:00,33,3,7002,7002,7002,7002
104,2021-01-03 00:00:00,68,4,7003,7003,7003,7003
105,2021-01-03 00:00:00,86,5,7004,7004,7004,7004
106,2021-01-03 00:00:00,80,1,7005,7005,7005,7005
107,2021-01-03 00:00:00,96,2,7006,7006,7006,7006
108,2021-01-03 00:00:00,71,3,7007,7007,7007,7007
109,2021-01-03 00:00:00,27,4,7008,7008,7008,7008
110,2021-01-03 00:00:00,14,5,7009,7009,7009,7009
111,2021-01-03 00:00:00,78,1,7010,7010,7010,7010
112,2021-01-03 00:00:00,80,2,7011,7011,7011,7011
113,2021-01-03 00:00:00,70,3,7012,7012,7012,7012
114,2021-01-03 00:00:00,88,4,7013,7013,7013,7013
115,2021-01-03 00:00:00,61,5,7014,7014,7014,7014
116,2021-01-03 00:00:00,27,1,7015,7015,7015,7015
117,2021-01-03 00:00:00,22,2,7016,7016,7016,7016
118,2021-01-03 00:00:00,31,3,7017,7017,7017,7017
119,2021-01-03 00:00:00,52,4,7018,7018,7018,7018
120,2021-01-03 00:00:00,20,5,7019,7019,7019,7019
121,2021-01-03 00:00:00,11,1,7020,7020,7020,7020
122,2021-01-03 00:00:00,81,2,7021,7021,7021,7021
123,2021-01-03 00:00:00,89,3,7022,7022,7022,7022
124,2021-01-03 00:00:00,90,4,7023,7023,7023,7023
125,2021-01-03 00:00:00,93,5,7024,7024,7024,7024
126,2021-01-03 00:00:00,51,1,7025,7025,7025,7025
127,2021-01-03 00:00:00,82,2,7026,7026,7026,7026
128,2021-01-03 00:00:00,86,3,7027,7027,7027,7027
129,2021-01-03 00:00:00,4,4,7028,7028,7028,7028
130,2021-01-03 00:00:00,90,5,7029,7029,7029,7029
131,2021-01-03 00:00:00,38,1,7030,7030,7030,7030
132,2021-01-03 00:00:00,92,2,7031,7031,7031,7031
133,2021-01-03 00:00:00,29,3,7032,7032,7032,7032
134,2021-01-03 00:00:00,84,4,7033,7033,7033,7033
135,2021-01-03 00:00:00,88,5,7034,7034,7034,7034
136,2021-01-03 00:00:00,79,1,7035,7035,7035,7035
137,2021-01-03 00:00:00,49,2,7036,7036,7036,7036
138,2021-01-03 00:00:00,92,3,7037,7037,7037,7037
139,2021-01-03 00:00:00,50,4,7038,7038,7038,7038
140,2021-01-03 00:00:00,14,5,7039,7039,7039,7039
141,2021-01-03 00:00:00,25,1,7040,7040,7040,7040
142,2021-01-03 00:00:00,40,2,7041,7041,7041,7041
143,2021-01-03 00:00:00,24,3,7042,7042,7042,7042
144,2021-01-03 00:00:00,61,4,7043,7043,7043,7043
145,2021-01-03 00:00:00,64,5,7044,7044,7044,7044
146,2021-01-03 00:00:00,74,1,7045,7045,7045,7045
147,2021-01-03 00:00:00,30,2,7046,7046,7046,7046
148,2021-01-03 00:00:00,19,3,7047,7047,7047,7047
149,2021-01-03 00:00:00,70,4,7048,7048,7048,7048
150,2021-01-03 00:00:00,34,5,7049,7049,7049,7049
151,2021-01-04 00:00:00,63,1,8000,8000,8000,8000
152,2021-01-04 00:00:00,35,2,8001,8001,8001,8001
153,2021-01-04 00:00:00,19,3,8002,8002,8002,8002
154,2021-01-04 00:00:00,86,4,8003,8003,8003,8003
155,2021-01-04 00:00:00,96,5,8004,8004,8004,8004
156,2021-01-04 00:00:00,23,1,8005,8005,8005,8005
157,2021-01-04 00:00:00,64,2,8006,8006,8006,8006
158,2021-01-04 00:00:00,47,3,8007,8007,8007,8007
159,2021-01-04 00:00:00,95,4,8008,8008,8008,8008
160,2021-01-04 00:00:00,21,5,8009,8009,8009,8009
161,2021-01-04 00:00:00,48,1,8010,8010,8010,8010
162,2021-01-04 00:00:00,67,2,8011,8011,8011,8011
163,2021-01-04 00:00:00,3,3,8012,8012,8012,8012
164,2021-01-04 00:00:00,83,4,8013,8013,8013,8013
165,2021-01-04 00:00:00,3,5,8014,8014,8014,8014
166,2021-01-04 00:00:00,94,1,8015,8015,8015,8015
167,2021-01-04 00:00:00,59,2,8016,8016,8016,8016
168,2021-01-04 00:00:00,73,3,8017,8017,8017,8017
169,2021-01-04 00:00:00,92,4,8018,8018,8018,8018
170,2021-01-04 00:00:00,88,5,8019,8019,8019,8019
171,2021-01-04 00:00:00,54,1,8020,8020,8020,8020
172,2021-01-04 00:00:00,26,2,8021,8021,8021,8021
173,2021-01-04 00:00:00,96,3,8022,8022,8022,8022
174,2021-01-04 00:00:00,92,4,8023,8023,8023,8023
175,2021-01-04 00:00:00,54,5,8024,8024,8024,8024
176,2021-01-04 00:00:00,74,1,8025,8025,8025,8025
177,2021-01-04 00:00:00,10,2,8026,8026,8026,8026
178,2021-01-04 00:00:00,92,3,8027,8027,8027,8027
179,2021-01-04 00:00:00,78,4,8028,8028,8028,8028
180,2021-01-04 00:00:00,74,5,8029,8029,8029,8029
181,2021-01-04 00:00:00,19,1,8030,8030,8030,8030
182,2021-01-04 00:00:00,93,2,8031,8031,8031,8031
183,2021-01-04 00:00:00,61,3,8032,8032,8032,8032
184,2021-01-04 00:00:00,52,4,8033,8033,8033,8033
185,2021-01-04 00:00:00,62,5,8034,8034,8034,8034
186,2021-01-04 00:00:00,21,1,8035,8035,8035,8035
187,2021-01-04 00:00:00,43,2,8036,8036,8036,8036
188,2021-01-04 00:00:00,45,3,8037,8037,8037,8037
189,2021-01-04 00:00:00,91,4,8038,8038,8038,8038
190,2021-01-04 00:00:00,100,5,8039,8039,8039,8039
191,2021-01-04 00:00:00,61,1,8040,8040,8040,8040
192,2021-01-04 00:00:00,82,2,8041,8041,8041,8041
193,2021-01-04 00:00:00,6,3,8042,8042,8042,8042
194,2021-01-04 00:00:00,67,4,8043,8043,8043,8043
195,2021-01-04 00:00:00,85,5,8044,8044,8044,8044
196,2021-01-04 00:00:00,95,1,8045,8045,8045,8045
197,2021-01-04 00:00:00,74,2,8046,8046,8046,8046
198,2021-01-04 00:00:00,49,3,8047,8047,8047,8047
199,2021-01-04 00:00:00,38,4,8048,8048,8048,8048
200,2021-01-04 00:00:00,77,5,8049,8049,8049,8049
201,2021-01-05 00:00:00,52,1,9000,9000,9000,9000
202,2021-01-05 00:00:00,36,2,9001,9001,9001,9001
203,2021-01-05 00:00:00,48,3,9002,9002,9002,9002
204,2021-01-05 00:00:00,57,4,9003,9003,9003,9003
205,2021-01-05 00:00:00,54,5,9004,9004,9004,9004
206,2021-01-05 00:00:00,96,1,9005,9005,9005,9005
207,2021-01-05 00:00:00,75,2,9006,9006,9006,9006
208,2021-01-05 00:00:00,51,3,9007,9007,9007,9007
209,2021-01-05 00:00:00,33,4,9008,9008,9008,9008
210,2021-01-05 00:00:00,85,5,9009,9009,9009,9009
211,2021-01-05 00:00:00,89,1,9010,9010,9010,9010
212,2021-01-05 00:00:00,33,2,9011,9011,9011,9011
213,2021-01-05 00:00:00,27,3,9012,9012,9012,9012
214,2021-01-05 00:00:00,70,4,9013,9013,9013,9013
215,2021-01-05 00:00:00,19,5,9014,9014,9014,9014
216,2021-01-05 00:00:00,33,1,9015,9015,9015,9015
217,2021-01-05 00:00:00,19,2,9016,9016,9016,9016
218,2021-01-05 00:00:00,99,3,9017,9017,9017,9017
219,2021-01-05 00:00:00,23,4,9018,9018,9018,9018
220,2021-01-05 00:00:00,52,5,9019,9019,9019,9019
221,2021-01-05 00:00:00,57,1,9020,9020,9020,9020
222,2021-01-05 00:00:00,26,2,9021,9021,9021,9021
223,2021-01-05 00:00:00,44,3,9022,9022,9022,9022
224,2021-01-05 00:00:00,37,4,9023,9023,9023,9023
225,2021-01-05 00:00:00,58,5,9024,9024,9024,9024
226,2021-01-05 00:00:00,51,1,9025,9025,9025,9025
227,2021-01-05 00:00:00,64,2,9026,9026,9026,9026
228,2021-01-05 00:00:00,81,3,9027,9027,9027,9027
229,2021-01-05 00:00:00,12,4,9028,9028,9028,9028
230,2021-01-05 00:00:00,39,5,9029,9029,9029,9029
231,2021-01-05 00:00:00,97,1,9030,9030,9030,9030
232,2021-01-05 00:00:00,17,2,9031,9031,9031,9031
233,2021-01-05 00:00:00,63,3,9032,9032,9032,9032
234,2021-01-05 00:00:00,38,4,9033,9033,9033,9033
235,2021-01-05 00:00:00,67,5,9034,9034,9034,9034
236,2021-01-05 00:00:00,89,1,9035,9035,9035,9035
237,2021-01-05 00:00:00,6,2,9036,9036,9036,9036
238,2021-01-05 00:00:00,81,3,9037,9037,9037,9037
239,2021-01-05 00:00:00,30,4,9038,9038,9038,9038
240,2021-01-05 00:00:00,5,5,9039,9039,9039,9039
241,2021-01-05 00:00:00,95,1,9040,9040,9040,9040
242,2021-01-05 00:00:00,59,2,9041,9041,9041,9041
243,2021-01-05 00:00:00,24,3,9042,9042,9042,9042
244,2021-01-05 00:00:00,4,4,9043,9043,9043,9043
245,2021-01-05 00:00:00,77,5,9044,9044,9044,9044
246,2021-01-05 00:00:00,27,1,9045,9045,9045,9045
247,2021-01-05 00:00:00,15,2,9046,9046,9046,9046
248,2021-01-05 00:00:00,90,3,9047,9047,9047,9047
249,2021-01-05 00:00:00,77,4,9048,9048,9048,9048
250,2021-01-05 00:00:00,96,5,9049,9049,9049,9049
251,2021-01-06 00:00:00,97,1,10000,10000,10000,10000
252,2021-01-06 00:00:00,77,2,10001,10001,10001,10001
253,2021-01-06 00:00:00,93,3,10002,10002,10002,10002
254,2021-01-06 00:00:00,17,4,10003,10003,10003,10003
255,2021-01-06 00:00:00,99,5,10004,10004,10004,10004
256,2021-01-06 00:00:00,47,1,10005,10005,10005,10005
257,2021-01-06 00:00:00,98,2,10006,10006,10006,10006
258,2021-01-06 00:00:00,93,3,10007,10007,10007,10007
259,2021-01-06 00:00:00,43,4,10008,10008,10008,10008
260,2021-01-06 00:00:00,38,5,10009,10009,10009,10009
261,2021-01-06 00:00:00,89,1,10010,10010,10010,10010
262,2021-01-06 00:00:00,75,2,10011,10011,10011,10011
263,2021-01-06 00:00:00,15,3,10012,10012,10012,10012
264,2021-01-06 00:00:00,80,4,10013,10013,10013,10013
265,2021-01-06 00:00:00,30,5,10014,10014,10014,10014
266,2021-01-06 00:00:00,69,1,10015,10015,10015,10015
267,2021-01-06 00:00:00,64,2,10016,10016,10016,10016
268,2021-01-06 00:00:00,47,3,10017,10017,10017,10017
269,2021-01-06 00:00:00,35,4,10018,10018,10018,10018
270,2021-01-06 00:00:00,67,5,10019,10019,10019,10019
271,2021-01-06 00:00:00,27,1,10020,10020,10020,10020
272,2021-01-06 00:00:00,60,2,10021,10021,10021,10021
273,2021-01-06 00:00:00,80,3,10022,10022,10022,10022
274,2021-01-06 00:00:00,39,4,10023,10023,10023,10023
275,2021-01-06 00:00:00,33,5,10024,10024,10024,10024
276,2021-01-06 00:00:00,54,1,10025,10025,10025,10025
277,2021-01-06 00:00:00,53,2,10026,10026,10026,10026
278,2021-01-06 00:00:00,30,3,10027,10027,10027,10027
279,2021-01-06 00:00:00,90,4,10028,10028,10028,10028
280,2021-01-06 00:00:00,99,5,10029,10029,10029,10029
281,2021-01-06 00:00:00,9,1,10030,10030,10030,10030
282,2021-01-06 00:00:00,91,2,10031,10031,10031,10031
283,2021-01-06 00:00:00,30,3,10032,10032,10032,10032
284,2021-01-06 00:00:00,14,4,10033,10033,10033,10033
285,2021-01-06 00:00:00,8,5,10034,10034,10034,10034
286,2021-01-06 00:00:00,68,1,10035,10035,10035,10035
287,2021-01-06 00:00:00,63,2,10036,10036,10036,10036
288,2021-01-06 00:00:00,74,3,10037,10037,10037,10037
289,2021-01-06 00:00:00,100,4,10038,10038,10038,10038
290,2021-01-06 00:00:00,17,5,10039,10039,10039,10039
291,2021-01-06 00:00:00,74,1,10040,10040,10040,10040
292,2021-01-06 00:00:00,87,2,10041,10041,10041,10041
293,2021-01-06 00:00:00,77,3,10042,10042,10042,10042
294,2021-01-06 00:00:00,66,4,10043,10043,10043,10043
295,2021-01-06 00:00:00,87,5,10044,10044,10044,10044
296,2021-01-06 00:00:00,18,1,10045,10045,10045,10045
297,2021-01-06 00:00:00,87,2,10046,10046,10046,10046
298,2021-01-06 00:00:00,38,3,10047,10047,10047,10047
299,2021-01-06 00:00:00,27,4,10048,10048,10048,10048
300,2021-01-06 00:00:00,46,5,10049,10049,10049,10049
301,2021-01-07 00:00:00,13,1,11000,11000,11000,11000
302,2021-01-07 00:00:00,19,2,11001,11001,11001,11001
303,2021-01-07 00:00:00,26,3,11002,11002,11002,11002
304,2021-01-07 00:00:00,58,4,11003,11003,11003,11003
305,2021-01-07 00:00:00,20,5,11004,11004,11004,11004
306,2021-01-07 00:00:00,85,1,11005,11005,11005,11005
307,2021-01-07 00:00:00,61,2,11006,11006,11006,11006
308,2021-01-07 00:00:00,61,3,11007,11007,11007,11007
309,2021-01-07 00:00:00,36,4,11008,11008,11008,11008
310,2021-01-07 00:00:00,66,5,11009,11009,11009,11009
311,2021-01-07 00:00:00,40,1,11010,11010,11010,11010
312,2021-01-07 00:00:00,61,2,11011,11011,11011,11011
313,2021-01-07 00:00:00,72,3,11012,11012,11012,11012
314,2021-01-07 00:00:00,27,4,11013,11013,11013,11013
315,2021-01-07 00:00:00,83,5,11014,11014,11014,11014
316,2021-01-07 00:00:00,25,1,11015,11015,11015,11015
317,2021-01-07 00:00:00,97,2,11016,11016,11016,11016
318,2021-01-07 00:00:00,34,3,11017,11017,11017,11017
319,2021-01-07 00:00:00,86,4,11018,11018,11018,11018
320,2021-01-07 00:00:00,35,5,11019,11019,11019,11019
321,2021-01-07 00:00:00,74,1,11020,11020,11020,11020
322,2021-01-07 00:00:00,67,2,11021,11021,11021,11021
323,2021-01-07 00:00:00,21,3,11022,11022,11022,11022
324,2021-01-07 00:00:00,9,4,11023,11023,11023,11023
325,2021-01-07 00:00:00,25,5,11024,11024,11024,11024
326,2021-01-07 00:00:00,37,1,11025,11025,11025,11025
327,2021-01-07 00:00:00,90,2,11026,11026,11026,11026
328,2021-01-07 00:00:00,62,3,11027,11027,11027,11027
329,2021-01-07 00:00:00,97,4,11028,11028,11028,11028
330,2021-01-07 00:00:00,83,5,11029,11029,11029,11029
331,2021-01-07 00:00:00,77,1,11030,11030,11030,11030
332,2021-01-07 00:00:00,71,2,11031,11031,11031,11031
333,2021-01-07 00:00:00,38,3,11032,11032,11032,11032
334,2021-01-07 00:00:00,29,4,11033,11033,11033,11033
335,2021-01-07 00:00:00,87,5,11034,11034,11034,11034
336,2021-01-07 00:00:00,61,1,11035,11035,11035,11035
337,2021-01-07 00:00:00,100,2,11036,11036,11036,11036
338,2021-01-07 00:00:00,73,3,11037,11037,11037,11037
339,2021-01-07 00:00:00,68,4,11038,11038,11038,11038
340,2021-01-07 00:00:00,9,5,11039,11039,11039,11039
341,2021-01-07 00:00:00,80,1,11040,11040,11040,11040
342,2021-01-07 00:00:00,99,2,11041,11041,11041,11041
343,2021-01-07 00:00:00,97,3,11042,11042,11042,11042
344,2021-01-07 00:00:00,3,4,11043,11043,11043,11043
345,2021-01-07 00:00:00,83,5,11044,11044,11044,11044
346,2021-01-07 00:00:00,64,1,11045,11045,11045,11045
347,2021-01-07 00:00:00,59,2,11046,11046,11046,11046
348,2021-01-07 00:00:00,68,3,11047,11047,11047,11047
349,2021-01-07 00:00:00,67,4,11048,11048,11048,11048
350,2021-01-07 00:00:00,11,5,11049,11049,11049,11049
351,2021-01-08 00:00:00,55,1,12000,12000,12000,12000
352,2021-01-08 00:00:00,4,2,12001,12001,12001,12001
353,2021-01-08 00:00:00,58,3,12002,12002,12002,12002
354,2021-01-08 00:00:00,83,4,12003,12003,12003,12003
355,2021-01-08 00:00:00,11,5,12004,12004,12004,12004
356,2021-01-08 00:00:00,48,1,12005,12005,12005,12005
